trial,objective,alpha_q,tau,max_weight_per_asset,w_model_conf,w_news_conf,confidence_floor,confidence_cap,err_window,err_min_periods,rolling_min_obs,use_rolling_prior,long_only,rebalance_mode,val_sharpe,val_total_return_pct,val_excess_vs_selic_pct,val_max_drawdown,val_final_capital_brl,val_n_days,val_full_sharpe,val_full_total_return_pct,val_full_excess_vs_selic_pct,val_full_max_drawdown,val_full_final_capital_brl,val_full_n_days
21,2.519133742714907,0.7280989929524442,0.02997470681820422,0.29201145027094455,0.6138832181221165,0.38611678187788345,0.15515229463273775,0.7220544028501872,24,6,120,True,True,weekly,2.4599586594919693,51.71677647656172,14.686107979620445,-0.11835016644587548,166022.67231745963,250.0,1.271395283450297,65.9122921815442,14.686107979620445,-0.18273778393336737,166022.67231745963,667.0
3,2.513626955866607,0.6438423699313005,0.011407391287301479,0.24671042787970446,0.8406673553347417,0.15933264466525832,0.07232970434393789,0.7974948081702804,19,8,70,True,True,weekly,2.4503617341046424,49.15917380760337,11.035624718441417,-0.12653044352392973,160738.13527153604,250.0,1.2144878073799292,59.71852216336207,11.035624718441417,-0.17490946376145067,160738.13527153604,667.0
18,2.5070863180233416,0.6833015069579479,0.01593101138240849,0.27589912231861274,0.30216829067289674,0.6978317093271033,0.12840728961109563,0.7961338342356941,27,7,100,True,True,weekly,2.4609348879826167,48.63161508754064,7.259584049638801,-0.09230286008144983,155271.83796963948,250.0,1.1314159042984027,55.08521385608136,7.259584049638801,-0.18443289328934775,155271.83796963948,667.0
20,2.5069099545124063,0.8043494696416722,0.07893219905342795,0.23860387364031038,0.6675078451241767,0.3324921548758233,0.16260169022421198,0.8192850014414609,26,7,100,True,True,weekly,2.449108620903696,47.99032316319125,12.163165696550449,-0.11560266721742085,162370.3936996132,250.0,1.2587148094160636,61.97374531393851,12.163165696550449,-0.16608479080094118,162370.3936996132,667.0
2,2.5061716341574947,0.6133605563656052,0.009063138072098327,0.22976608861439948,0.6006902946890318,0.3993097053109682,0.05314158899543201,0.9294636019349476,28,5,90,True,True,weekly,2.4447645624744996,47.86768714070233,10.378111890707942,-0.12281414336599061,159786.30214487071,250.0,1.2139251142173968,59.34905114436233,10.378111890707942,-0.1692564325554453,159786.30214487071,667.0
35,2.5032912680316644,0.8607902111484136,0.013357073632335013,0.24446002070637796,0.44573785377383746,0.5542621462261625,0.07565266624389394,0.7607189541668345,8,5,110,True,True,weekly,2.446385409025018,48.293602578987446,10.878762064939473,-0.11381171801329282,160511.05670570114,250.0,1.22782116328867,60.1501939482298,10.878762064939473,-0.1721788158437786,160511.05670570114,667.0
30,2.498130931726877,0.817071223214018,0.05893844186508809,0.2197438130387215,0.7948871154253242,0.2051128845746758,0.12030124611171242,0.7585454047986815,28,6,100,True,True,weekly,2.439994842463941,47.22223625987325,11.142534322655905,-0.1162721785258729,160892.90046935098,250.0,1.2479119823387879,60.22355238906263,11.142534322655905,-0.16095558929419052,160892.90046935098,667.0
28,2.4957786706613687,0.6823463503746098,0.03971321256011226,0.2625940449245173,0.5669944192765163,0.4330055807234837,0.08678389432033308,0.7297038690953679,26,3,90,True,True,weekly,2.4377567672954457,49.609517262650684,11.137840636623487,-0.11604380673184589,160886.10576411727,250.0,1.2100181905138965,60.621451497836134,11.137840636623487,-0.17590094865205175,160886.10576411727,667.0
15,2.4556341022039048,0.4861950512479537,0.031635496289214526,0.2600583012623658,0.4685024890389591,0.5314975109610409,0.14995776929721655,0.7511226565179623,25,7,120,True,True,weekly,2.376265866222412,47.898944042464905,10.159522157788503,-0.15873647196298524,159469.86581060349,250.0,1.1851322348365907,59.19408262317687,10.159522157788503,-0.16965555607996408,159469.86581060349,667.0
29,2.448288399045559,0.8873645171619113,0.020385605594058914,0.2878477018381695,0.6712556233463186,0.3287443766536814,0.023560604780406547,0.8482577857036351,24,5,110,True,True,weekly,2.388312793441396,50.001065365092145,10.237475340205314,-0.11995121120832597,159582.71291901518,250.0,1.1903856649593803,58.67922311287399,10.237475340205314,-0.18767807872288234,159582.71291901518,667.0
37,2.4417508018392553,0.8973839578047434,0.017710782599836866,0.3028060152927814,0.7384761192912102,0.26152388070878985,0.10260583499383041,0.7158813214591415,7,6,110,True,True,weekly,2.3696003765474276,50.113112989195805,8.52114840595446,-0.1443008505836556,157098.11221876825,250.0,1.1450696485161327,56.15697973462959,8.52114840595446,-0.18755897116851306,157098.11221876825,667.0
23,2.4124835558069804,0.8024996113035213,0.025084355444739297,0.3405122775236163,0.4907151047503049,0.5092848952496951,0.17608277564074054,0.7787669576574611,20,5,110,True,True,weekly,2.3469753217433986,50.69438751019835,12.786799503680157,-0.1310164681271634,163273.1826513979,250.0,1.2072372091570434,63.381526462942595,12.786799503680157,-0.1981452879030834,163273.1826513979,667.0
10,2.3925850205516097,0.6096909349116022,0.005089841832858297,0.20565664611108056,0.8760765201225972,0.12392347987740282,0.06528971627097463,0.7718996158839169,25,3,90,True,True,weekly,2.332145573218164,44.20958377327351,8.842615613346116,-0.12087889466689083,157563.4767321675,250.0,1.1965154337214696,56.95700111269393,8.842615613346116,-0.1586776394021615,157563.4767321675,667.0
11,2.384399517050905,0.5775353505828986,0.005112407377987028,0.20155936008707107,0.5491772105937581,0.4508227894062419,0.05169181614876725,0.9538120256348586,28,3,90,True,True,weekly,2.324097515899594,43.88318818530288,8.763408870874944,-0.12060400230262192,157448.81493674795,250.0,1.1972106402777984,56.87059789697866,8.763408870874944,-0.15725956871441793,157448.81493674795,667.0
0,2.365916672567694,0.8732141347055481,0.04734978060372926,0.2825547267964153,0.7966582602624117,0.2033417397375883,0.011031630482265383,0.8391381746865755,9,5,110,True,True,weekly,2.2976239949730997,47.33818896633524,6.405912354183085,-0.13658535518918835,154036.04002812662,250.0,1.1082514643561874,53.181901840383716,6.405912354183085,-0.18182145920736725,154036.04002812662,667.0
19,2.35593240800594,0.5345968024300093,0.04411365859673899,0.315607204498793,0.7647733579279742,0.23522664207202582,0.037663753227776084,0.8663286737624865,22,6,80,True,True,weekly,2.2781128381242106,48.5478007619246,10.869442323199685,-0.15563913976345845,160497.56519869817,250.0,1.1788262941713523,59.209745576900644,10.869442323199685,-0.17660255774555023,160497.56519869817,667.0
16,2.352026429961499,0.7396655277996531,0.021346233912996494,0.33899933432031104,0.5206890400230009,0.47931095997699913,0.1375568429594076,0.8028696715045641,22,10,100,True,True,weekly,2.297537969578751,48.903216597709,10.466397200590304,-0.10897692076549614,159914.10631689517,250.0,1.1667205951231023,60.02195984873253,10.466397200590304,-0.19421255105150992,159914.10631689517,667.0
26,2.320064287689955,0.42612855120236903,0.006775723095260553,0.3124591933565245,0.48121450679425776,0.5187854932057423,0.13200427517487118,0.7008368644194392,19,4,110,True,True,weekly,2.2291548946625555,45.32207873715115,12.617108723944837,-0.1818187860547985,163027.53374748444,250.0,1.225565129697525,63.03039695697059,12.617108723944837,-0.1818187860547985,163027.53374748444,667.0
6,2.3194841436740816,0.8308022501581442,0.010999019845693582,0.38729483867595227,0.6946557562745281,0.30534424372547186,0.18980384745392873,0.8804617011730109,20,8,60,True,True,weekly,2.2667644430529323,49.48596593783834,13.608999689003909,-0.10543940124229845,164463.4215944756,250.0,1.2251728639147714,63.053027950113915,13.608999689003909,-0.1942779365916547,164463.4215944756,667.0
27,2.2371430629305333,0.575700967300591,0.01518560879985952,0.36399723294909714,0.40902456789289376,0.5909754321071062,0.10941837935150411,0.7508528768701537,21,4,120,True,True,weekly,2.1640083410306468,44.02602586879703,6.017854159807423,-0.14626944379977347,153474.27662382324,250.0,1.076717130989736,53.55022012221509,6.017854159807423,-0.19077529551324046,153474.27662382324,667.0
1,2.2338830384271766,0.32061543515901225,0.009503690664152575,0.45706942026932446,0.7102100789507557,0.2897899210492443,0.01454092086847289,0.7640856534407388,22,8,50,True,True,weekly,2.1469952897854965,44.459218066900696,10.48897572708083,-0.17377549728336072,159946.79159474603,250.0,1.1673803422938804,58.68592344099943,10.48897572708083,-0.18235587820976829,159946.79159474603,667.0
4,2.2079512359324163,0.3842770530921139,0.0176906198431203,0.3191766049666854,0.7409623201247322,0.2590376798752678,0.09755489073760369,0.7041206756367195,17,9,60,True,True,weekly,2.118424911384327,44.59011219877651,12.076743587573269,-0.17905264909617824,162245.2867469712,250.0,1.1932699687936572,60.94043768244026,12.076743587573269,-0.17905264909617824,162245.2867469712,667.0
7,2.0560667636038517,0.1549420540277983,0.021473253439841928,0.49675357338086185,0.5536636286042713,0.4463363713957287,0.1885553089627505,0.9864067347017187,11,6,80,True,True,weekly,1.9568665973484245,40.186641545094595,13.794290450421354,-0.19840033251085443,164731.65344843065,250.0,1.2480853784868595,63.662290159595855,13.794290450421354,-0.19840033251085443,164731.65344843065,667.0
5,2.046486670462348,0.8776228649194603,0.06690460565915732,0.3718755831825782,0.39246881273684536,0.6075311872631546,0.11231479056112709,0.824535988349316,13,8,110,True,True,weekly,1.98556623497399,40.47646114266554,0.515156696982122,-0.12184087097671603,145508.42484084095,250.0,0.9520109129217156,45.57219154609109,0.515156696982122,-0.20163779476144628,145508.42484084095,667.0
17,1.9724590459615925,0.48546366148007625,0.032914599494759916,0.4114490306036566,0.6409429758069334,0.3590570241930666,0.17129574605278072,0.7341166143487629,16,4,110,True,True,weekly,1.8726608949156198,39.51250929468284,3.4346986891238496,-0.19959630209194545,149734.8317877446,250.0,0.983871238297537,49.7578984377391,3.4346986891238496,-0.19959630209194545,149734.8317877446,667.0
8,1.7686935689145193,0.745848993807379,0.009453204055115743,0.49238339856603675,0.8867663139411792,0.11323368605882078,0.11888877360547151,0.8724686221831974,12,5,70,True,True,weekly,1.6973313774955923,36.27392203974089,3.604942265987243,-0.14272438283785438,149981.2809355417,250.0,0.9781550429730282,48.360304541635514,3.604942265987243,-0.19093880857777257,149981.2809355417,667.0
9,1.6732687068725112,0.3080369670931391,0.011720620355083396,0.47502056691702765,0.4288427701567735,0.5711572298432265,0.08721119892826462,0.9131471220583824,14,9,40,True,True,weekly,1.5647279471503495,31.162133289860638,2.0338324572662714,-0.21708151944432352,147706.90042387258,250.0,0.9766484531836455,46.70120852725961,2.0338324572662714,-0.21708151944432352,147706.90042387258,667.0
38,1.6571597993364762,0.8486285502647778,0.018082570760118825,0.42652156778529965,0.37155525807837114,0.6284447419216288,0.07091866850918924,0.7038698059818522,10,8,100,True,True,weekly,1.5861329295187163,32.19988766278639,-11.079206177183043,-0.1420537396355197,128724.11554568814,250.0,0.6531455543874024,28.73001805470057,-11.079206177183043,-0.209231779782736,128724.11554568814,667.0
