time_hour,real_value,pred_maxmin,pred_quantile,pred_conf_gate,pred_conf_weighted,majority_direction,direction_sign,confidence,n_down,n_up,n_zero,pred_q10,pred_q25,pred_q75,pred_q90
2025-10-29 15:00:00,-0.0066006779670715,0.0002879316743928,0.00677690841257565,0.00677690841257565,0.004879374057054468,up,1.0,0.72,7,43,0,-0.008521301951259339,0.0045221709879114495,0.017496459186077052,0.023423194140195832
2025-10-29 16:00:00,0.0033222436904907,0.0035997303202748,0.00931389210745685,0.00931389210745685,0.0067060023173689315,up,1.0,0.72,7,43,0,-0.0008636016456875695,0.007745129056274825,0.017047332599759026,0.026900976337492423
2025-10-29 17:00:00,0.0008277893066406,0.0011602598242461,0.005780167877674075,0.005780167877674075,0.004392927587032297,up,1.0,0.76,6,44,0,-0.0018886713893151875,0.00498313084244725,0.016572029329836327,0.025398315675556636
2025-10-29 18:00:00,-0.0049628019332885,0.0034005756024271,0.009528709575533801,0.009528709575533801,0.006860670894384337,up,1.0,0.72,7,43,0,-0.0070045610424130395,0.007974947569891724,0.017277646809816298,0.02437563035637138
2025-10-29 19:00:00,-0.0033250451087951,9.673066961113364e-05,0.0089276181533932,0.0089276181533932,0.005713675618171647,up,1.0,0.64,9,41,0,-0.007709639472886841,0.0024615487782284,0.017742482014000374,0.021992827020585495
2025-10-30 13:00:00,0.0483735799789428,0.0004341893363744,0.0045063691213726755,0.0045063691213726755,0.0023433119431137913,up,1.0,0.52,12,38,0,-0.003149414015933809,0.0006272141181398,0.009282224811613475,0.012171071860939221
2025-10-30 14:00:00,-0.0087509751319885,0.0003073497791774,0.0061510611558332744,0.0061510611558332744,0.0036906366934999647,up,1.0,0.6,10,40,0,-0.00447729048319159,0.0021406622254289253,0.01741763390600675,0.022269707545638028
2025-10-30 15:00:00,0.0048154592514038,0.0013074175221845,0.0105989112053066,0.0105989112053066,0.004663520930334905,up,1.0,0.44,14,36,0,-0.007355077425017869,-0.000605394132435225,0.015794935636222324,0.02185084838420152
2025-10-30 16:00:00,-0.0087859630584716,0.0007706662872806,0.008640855317935299,0.008640855317935299,0.0034563421271741196,up,1.0,0.4,15,35,0,-0.0117903877981007,-0.0023869084543548004,0.018582078628241926,0.024111485853791192
2025-10-30 17:00:00,-0.003223180770874,0.0013088970445096,0.0095018781721591,0.0095018781721591,0.004560901522636367,up,1.0,0.48,13,37,0,-0.00950228068977587,-0.00020720876636914996,0.01621668366715305,0.02003765963017932
2025-10-30 18:00:00,0.0072757005691528,3.957027365686372e-05,0.005454922094941099,0.005454922094941099,0.0024001657217740838,up,1.0,0.44,14,36,0,-0.01360271861776708,-0.0014545796748279753,0.01804351247847075,0.02750159725546835
2025-10-30 19:00:00,0.0136436223983764,0.00104394427035,0.004016220453195225,0.004016220453195225,0.0011245417268946631,up,1.0,0.28,18,32,0,-0.01149402065202589,-0.006355398218147425,0.0125574264675378,0.01760171446949238
2025-10-31 13:00:00,0.0134600400924682,-0.0002149047068087,-0.00893223681487135,-0.00893223681487135,-0.008217657869681642,down,-1.0,0.92,48,2,0,-0.02546289917081589,-0.0172027996741235,-0.008125150343403175,-0.003481498407199938
2025-10-31 14:00:00,-0.000781238079071,-0.0002222148614237,-0.010388170368969375,-0.010388170368969375,-0.008726063109934274,down,-1.0,0.84,46,4,0,-0.02276423238217823,-0.017485069576650775,-0.009729240788146775,-0.0038214117186725544
2025-10-31 15:00:00,-0.0039092898368835,-0.000465648015961,-0.00963557185605165,-0.00963557185605165,-0.008479303233325453,down,-1.0,0.88,47,3,0,-0.01855482999235383,-0.0147305750288069,-0.008454403374344025,-0.0026392723666503496
2025-10-31 16:00:00,-0.0023547410964965,-0.0027330773882567,-0.00860781082883475,-0.00860781082883475,-0.006197623796761019,down,-1.0,0.72,43,7,0,-0.01799034345895047,-0.013916667085140924,-0.00579500372987235,0.0007095738197676414
2025-10-31 17:00:00,0.0094413757324218,-0.0001521974772913,-0.007508649607188925,-0.007508649607188925,-0.005105881732888469,down,-1.0,0.68,42,8,0,-0.01747486777603619,-0.014830349478870575,-0.004333687596954375,0.006944566592574042
2025-10-31 18:00:00,-0.0038971304893493,-0.0009251708979718,-0.0083496158476918,-0.0083496158476918,-0.004341800240799736,down,-1.0,0.52,38,12,0,-0.01836248859763136,-0.01555906748399135,-0.00118648105126335,0.009180515911430041
2025-10-31 19:00:00,-0.0023474097251892,-0.0021317219361662,-0.007603733916766925,-0.007603733916766925,-0.0033456429233774472,down,-1.0,0.44,36,14,0,-0.01663899961858987,-0.0139440817292779,0.0039286031850451425,0.010964342020451972
