view_date,ticker,ret_7h_pred,ret_7h_real,abs_error,direction_hit,context_hours_available,context_hours_used,max_context_hours,context_start,context_end
2025-05-28,ABEV3,0.0007008672691881657,-0.007061465177685022,0.007762332446873188,0,8522,8522,-1,2020-09-25 18:00:00,2025-05-28 13:00:00
2025-05-29,ABEV3,-0.011088844388723373,-0.003924245480448008,0.007164598908275366,1,8529,8529,-1,2020-09-25 18:00:00,2025-05-29 13:00:00
2025-05-30,ABEV3,-0.005613504443317652,-0.008729618974030018,0.003116114530712366,1,8536,8536,-1,2020-09-25 18:00:00,2025-05-30 13:00:00
2025-06-02,ABEV3,0.004713905043900013,-0.0034935635048896074,0.00820746854878962,0,8543,8543,-1,2020-09-25 18:00:00,2025-06-02 13:00:00
2025-06-03,ABEV3,-0.00883144699037075,0.008085296489298344,0.016916743479669094,0,8550,8550,-1,2020-09-25 18:00:00,2025-06-03 13:00:00
2025-06-04,ABEV3,0.006676965858787298,0.002325070323422551,0.004351895535364747,1,8557,8557,-1,2020-09-25 18:00:00,2025-06-04 13:00:00
2025-06-05,ABEV3,0.005344882141798735,-0.009462447836995125,0.01480732997879386,0,8564,8564,-1,2020-09-25 18:00:00,2025-06-05 13:00:00
2025-06-06,ABEV3,-0.0019372371025383472,0.006249689497053623,0.00818692659959197,0,8571,8571,-1,2020-09-25 18:00:00,2025-06-06 13:00:00
2025-06-09,ABEV3,-0.006446788087487221,-0.0060864840634167194,0.00036030402407050133,1,8578,8578,-1,2020-09-25 18:00:00,2025-06-09 13:00:00
2025-06-10,ABEV3,-0.0028109531849622726,-0.0032114358618855476,0.000400482676923275,1,8585,8585,-1,2020-09-25 18:00:00,2025-06-10 13:00:00
2025-06-11,ABEV3,-0.0018129877280443907,-0.003448765492066741,0.0016357777640223503,1,8592,8592,-1,2020-09-25 18:00:00,2025-06-11 13:00:00
2025-06-12,ABEV3,-0.029329776763916016,-0.002303146757185459,0.027026630006730556,1,8599,8599,-1,2020-09-25 18:00:00,2025-06-12 13:00:00
2025-06-13,ABEV3,0.013322779908776283,-0.010870048776268959,0.024192828685045242,0,8606,8606,-1,2020-09-25 18:00:00,2025-06-13 13:00:00
2025-06-16,ABEV3,-0.02658379077911377,0.0010249047772958875,0.027608695556409657,0,8613,8613,-1,2020-09-25 18:00:00,2025-06-16 13:00:00
2025-06-17,ABEV3,-0.025365691632032394,-0.014946728013455868,0.010418963618576527,1,8620,8620,-1,2020-09-25 18:00:00,2025-06-17 13:00:00
2025-06-18,ABEV3,-0.006324577610939741,0.00031564055825583637,0.0066402181691955775,0,8627,8627,-1,2020-09-25 18:00:00,2025-06-18 13:00:00
2025-06-20,ABEV3,-0.023499730974435806,-0.0023704301565885544,0.021129300817847252,1,8634,8634,-1,2020-09-25 18:00:00,2025-06-20 13:00:00
2025-06-23,ABEV3,-0.0031498074531555176,0.007292964495718479,0.010442771948873997,0,8641,8641,-1,2020-09-25 18:00:00,2025-06-23 13:00:00
2025-06-24,ABEV3,0.001519408542662859,0.0008896154467947781,0.0006297930958680809,1,8648,8648,-1,2020-09-25 18:00:00,2025-06-24 13:00:00
2025-06-25,ABEV3,0.007451002486050129,-0.025193531066179276,0.032644533552229404,0,8655,8655,-1,2020-09-25 18:00:00,2025-06-25 13:00:00
2025-06-26,ABEV3,-0.022749165073037148,0.006829230580478907,0.029578395653516054,0,8662,8662,-1,2020-09-25 18:00:00,2025-06-26 13:00:00
2025-06-27,ABEV3,-0.01174522191286087,-0.01286823395639658,0.0011230120435357094,1,8669,8669,-1,2020-09-25 18:00:00,2025-06-27 13:00:00
2025-06-30,ABEV3,-0.01889066770672798,0.006215312983840704,0.025105980690568686,0,8676,8676,-1,2020-09-25 18:00:00,2025-06-30 13:00:00
2025-07-01,ABEV3,-0.025611065328121185,0.009202619083225727,0.03481368441134691,0,8683,8683,-1,2020-09-25 18:00:00,2025-07-01 13:00:00
2025-07-02,ABEV3,0.0050801848992705345,0.018094385042786598,0.013014200143516064,1,8690,8690,-1,2020-09-25 18:00:00,2025-07-02 13:00:00
2025-07-03,ABEV3,0.020180072635412216,-0.001652885228395462,0.021832957863807678,0,8697,8697,-1,2020-09-25 18:00:00,2025-07-03 13:00:00
2025-07-04,ABEV3,0.020872237160801888,0.00028797751292586327,0.020584259647876024,1,8704,8704,-1,2020-09-25 18:00:00,2025-07-04 13:00:00
2025-07-07,ABEV3,-0.01352653931826353,-0.013634400442242622,0.00010786112397909164,1,8711,8711,-1,2020-09-25 18:00:00,2025-07-07 13:00:00
2025-07-08,ABEV3,-0.018190670758485794,0.0016477472381666303,0.019838417996652424,0,8718,8718,-1,2020-09-25 18:00:00,2025-07-08 13:00:00
2025-07-09,ABEV3,-0.010225770995020866,-0.0041574398055672646,0.006068331189453602,1,8725,8725,-1,2020-09-25 18:00:00,2025-07-09 13:00:00
2025-07-10,ABEV3,-0.014494828879833221,-0.008553088642656803,0.005941740237176418,1,8732,8732,-1,2020-09-25 18:00:00,2025-07-10 13:00:00
2025-07-11,ABEV3,-0.027365246787667274,0.006898954976350069,0.034264201764017344,0,8739,8739,-1,2020-09-25 18:00:00,2025-07-11 13:00:00
2025-07-14,ABEV3,-0.018025074154138565,0.005045129451900721,0.023070203606039286,0,8746,8746,-1,2020-09-25 18:00:00,2025-07-14 13:00:00
2025-07-15,ABEV3,0.020254163071513176,-0.006760201882570982,0.027014364954084158,0,8753,8753,-1,2020-09-25 18:00:00,2025-07-15 13:00:00
2025-07-16,ABEV3,-0.002238681074231863,0.02478032559156418,0.02701900666579604,0,8760,8760,-1,2020-09-25 18:00:00,2025-07-16 13:00:00
2025-07-17,ABEV3,0.012116032652556896,-0.008894551545381546,0.021010584197938442,0,8767,8767,-1,2020-09-25 18:00:00,2025-07-17 13:00:00
2025-07-18,ABEV3,-0.0017117841634899378,-0.0108658317476511,0.009154047584161162,1,8774,8774,-1,2020-09-25 18:00:00,2025-07-18 13:00:00
2025-07-21,ABEV3,-0.01373094692826271,-0.0016121354419738054,0.012118811486288905,1,8781,8781,-1,2020-09-25 18:00:00,2025-07-21 13:00:00
2025-07-22,ABEV3,-0.015219739638268948,0.008856549859046936,0.024076289497315884,0,8788,8788,-1,2020-09-25 18:00:00,2025-07-22 13:00:00
2025-07-23,ABEV3,-0.008905107155442238,0.011812034994363785,0.020717142149806023,0,8795,8795,-1,2020-09-25 18:00:00,2025-07-23 13:00:00
2025-07-24,ABEV3,-0.003969397395849228,-0.008539175614714622,0.004569778218865395,1,8802,8802,-1,2020-09-25 18:00:00,2025-07-24 13:00:00
2025-07-25,ABEV3,-0.009356200695037842,-9.301549289375544e-05,0.009263185202144086,1,8809,8809,-1,2020-09-25 18:00:00,2025-07-25 13:00:00
2025-07-28,ABEV3,-0.015498213469982147,-0.026704279705882072,0.011206066235899925,1,8816,8816,-1,2020-09-25 18:00:00,2025-07-28 13:00:00
2025-07-29,ABEV3,-0.020748041570186615,0.001477692974731326,0.02222573454491794,0,8823,8823,-1,2020-09-25 18:00:00,2025-07-29 13:00:00
2025-07-30,ABEV3,-0.013334102928638458,-0.0013883356004953384,0.01194576732814312,1,8830,8830,-1,2020-09-25 18:00:00,2025-07-30 13:00:00
2025-07-31,ABEV3,-0.0071494742296636105,-0.05202462896704674,0.04487515473738313,1,8837,8837,-1,2020-09-25 18:00:00,2025-07-31 13:00:00
2025-08-01,ABEV3,-0.020901236683130264,-0.014274386689066887,0.006626849994063377,1,8844,8844,-1,2020-09-25 18:00:00,2025-08-01 13:00:00
2025-08-04,ABEV3,-0.03827746585011482,0.010361531749367714,0.048638997599482536,0,8851,8851,-1,2020-09-25 18:00:00,2025-08-04 13:00:00
2025-08-05,ABEV3,-0.021291950717568398,-0.0012403519358485937,0.020051598781719804,1,8858,8858,-1,2020-09-25 18:00:00,2025-08-05 13:00:00
2025-08-06,ABEV3,-0.005649763159453869,0.006063784006983042,0.01171354716643691,0,8865,8865,-1,2020-09-25 18:00:00,2025-08-06 13:00:00
2025-08-07,ABEV3,-0.002853275975212455,0.006503406912088394,0.009356682887300849,0,8872,8872,-1,2020-09-25 18:00:00,2025-08-07 13:00:00
2025-08-08,ABEV3,0.032417990267276764,-0.01815004087984562,0.05056803114712238,0,8879,8879,-1,2020-09-25 18:00:00,2025-08-08 13:00:00
2025-08-11,ABEV3,0.015222175046801567,-0.0028474025893956423,0.01806957763619721,0,8886,8886,-1,2020-09-25 18:00:00,2025-08-11 13:00:00
