view_date,capital_bl_real_brl,capital_selic_brl,ganho_bl_real_pct,ganho_selic_pct,mode,ret_mkv,capital_mkv,capital_mkv_brl,ganho_mkv_pct,ret_bl_real
2025-08-14,119936.83234264229,108916.36148779855,19.93683234264228,8.916361487798552,monthly,0.005344390653256235,1.2291437272788508,122914.37272788509,22.91437272788508,-0.003412541119093171
2025-08-15,120231.51294171296,108976.78444122052,20.23151294171295,8.97678444122052,monthly,0.01428027492574948,1.2466962376276534,124669.62376276533,24.669623762765337,0.002456964998281963
2025-08-18,120954.3716317677,109037.24091516456,20.9543716317677,9.037240915164556,monthly,0.010482082798840385,1.2597642108154692,125976.42108154691,25.976421081546917,0.006012223188151866
2025-08-19,118612.80779550018,109097.73092822668,18.612807795500185,9.097730928226678,monthly,-0.027351828883876987,1.225307355687212,122530.73556872121,22.530735568721205,-0.01935906742913074
2025-08-20,118551.51686571764,109158.2544990132,18.55151686571765,9.158254499013196,monthly,0.0018515376330299647,1.2275760583682953,122757.60583682953,22.75760583682953,-0.0005167311264413499
2025-08-21,118771.40382893098,109218.81164614078,18.77140382893099,9.21881164614078,monthly,-0.0035094925851812562,1.2232678892937057,122326.78892937057,22.326788929370565,0.001854779837717313
2025-08-22,122006.87246197232,109279.40238823635,22.00687246197233,9.279402388236369,monthly,0.027356124231368576,1.2567317576414685,125673.17576414684,25.673175764146848,0.027241141627840415
2025-08-25,121563.37105791672,109340.02674393728,21.56337105791673,9.34002674393728,monthly,-0.010288403614421033,1.2438019940837923,124380.19940837924,24.380199408379234,-0.0036350526417585627
2025-08-26,121887.5586500676,109400.68473189112,21.8875586500676,9.400684731891127,monthly,0.0074687368227826945,1.2530916238372565,125309.16238372565,25.30916238372565,0.0026668196951895595
2025-08-27,122789.46267399393,109461.37637075593,22.78946267399393,9.461376370755923,monthly,0.005790945810488478,1.260348209526475,126034.82095264751,26.034820952647507,0.007399475663596222
2025-08-28,124317.31753498963,109522.1016792,24.317317534989648,9.522101679200002,monthly,0.014309551658971098,1.278383227338986,127838.32273389859,27.83832273389859,0.012442882538318045
2025-08-29,124933.71116949974,109582.86067590206,24.933711169499738,9.582860675902062,monthly,0.009402404437102583,1.2904031034680354,129040.31034680354,29.040310346803544,0.004958228239896112
2025-09-01,125007.39995555812,109643.65337955116,25.00739995555812,9.643653379551154,monthly,-0.006107715018332144,1.2825216890532813,128252.16890532813,28.252168905328134,0.0005898230779233238
2025-09-02,123406.45384429774,109704.4798088467,23.406453844297737,9.7044798088467,monthly,-0.010709937994990976,1.2687859612862895,126878.59612862895,26.87859612862895,-0.012806810731441076
2025-09-03,123259.3532902856,109765.33998249852,23.25935329028559,9.76533998249851,monthly,-0.0018846382302127088,1.2663947587576923,126639.47587576922,26.639475875769225,-0.001192000494542489
2025-09-04,124412.53558697247,109826.23391922674,24.412535586972496,9.826233919226745,monthly,0.00808157583568363,1.2766292240385047,127662.92240385046,27.662922403850466,0.009355738659207802
2025-09-05,126779.73265084348,109887.16163776198,26.77973265084348,9.887161637761976,monthly,0.01438704843745552,1.2949961505214178,129499.61505214179,29.49961505214178,0.019026997984589622
2025-09-08,126382.829724214,109948.12315684516,26.382829724214,9.948123156845169,monthly,-0.0023368614419082443,1.2919699239498448,129196.99239498448,29.196992394984477,-0.003130649657722251
2025-09-09,126122.27154664038,110009.11849522764,26.122271546640373,10.009118495227654,monthly,-0.0068796607496809,1.2830816091742787,128308.16091742787,28.30816091742787,-0.002061658044389403
2025-09-10,126747.84969979784,110070.1476716712,26.747849699797843,10.070147671671204,monthly,0.0005878113014839309,1.2838358190448775,128383.58190448776,28.383581904487755,0.004960092658385928
2025-09-11,127703.51299145418,110131.21070494798,27.70351299145417,10.131210704947978,monthly,0.0062138297520448315,1.2918133562539995,129181.33562539995,29.181335625399953,0.007539877748773183
2025-09-12,126979.78784775644,110192.30761384052,26.97978784775645,10.192307613840534,monthly,-0.0089028771119866,1.2803125006916471,128031.25006916471,28.031250069164713,-0.005667229716273869
2025-09-15,127786.9547988108,110253.43841714188,27.78695479881081,10.25343841714188,monthly,0.012440441459883343,1.2962401534068584,129624.01534068584,29.624015340685837,0.006356656950963879
2025-09-16,127856.64661691053,110314.60313365544,27.85664661691052,10.314603133655442,monthly,-0.00040827209782288727,1.2957109347201448,129571.09347201447,29.571093472014475,0.0005453750596799978
2025-09-17,129675.55064539467,110375.80178219508,29.675550645394665,10.375801782195085,monthly,0.01601130850109309,1.3164569622241886,131645.69622241886,31.645696222418863,0.014226120241789486
2025-09-18,129367.57877802472,110437.03438158508,29.36757877802474,10.437034381585075,monthly,-0.0032825563450489155,1.3121356180698558,131213.56180698558,31.21356180698558,-0.002374941658910834
2025-09-19,130140.2966808769,110498.30095066017,30.1402966808769,10.498300950660155,monthly,0.011377837826317481,1.3270648843383894,132706.48843383894,32.70648843383894,0.005973041392218104
